Group,Layer,Type,BBox,Priority,CommercialAction,Notes
02_HEAD,Face_Base,redraw,"300,110,500,340",S,original,"Full hidden face under bangs/glasses"
03_FACE,Glasses_Frame_L,vector/paint,"320,200,400,260",S,original,"Separate from eyes; bridge/temple connected"
03_FACE,Glasses_Frame_R,vector/paint,"400,200,480,260",S,original,"Lens reflection on top"
03_FACE,Eye_L_Iris,paint,"335,215,380,248",S,original,"Orange iris/pupil/highlights separated"
03_FACE,Eye_R_Iris,paint,"415,215,460,248",S,original,"Orange iris/pupil/highlights separated"
03_FACE,Mouth_Set,paint,"360,265,440,315",S,original,"A/I/U/E/O + smile/frown variants"
04_HAIR,Ahoge_01_04,paint,"375,45,455,115",S,original,"High elasticity physics"
04_HAIR,Bang_Center_01_10,paint,"270,105,515,235",S,original,"Split per strand with underside fill"
04_HAIR,Bang_Left_01_10,paint,"270,105,400,235",S,original,"Left bang strands"
04_HAIR,Bang_Right_01_10,paint,"400,105,515,235",S,original,"Right bang strands"
04_HAIR,SideBraid_Left_01_16,paint,"150,160,345,890",S,original,"Braid links + loose wisps"
04_HAIR,SideBraid_Right_01_16,paint,"480,150,720,910",S,original,"Braid links + outer curls"
04_HAIR,BackHair_Base,paint,"180,120,700,960",S,original,"Behind body and cape"
04_HAIR,LongWisp_L_01_10,paint,"150,300,300,880",S,original,"Loose left hair strands"
04_HAIR,LongWisp_R_01_10,paint,"540,300,720,900",S,original,"Loose right hair strands"
06_ACCESSORY,HeadFlower_L_Petals,paint,"470,120,545,195",S,original,"Each petal independent + center"
06_ACCESSORY,HeadFlower_R_Petals,paint,"540,130,620,225",S,original,"Flower + black ribbon knot/tails"
05_OUTFIT,NeckBow_Knot_Loop,paint,"325,330,475,435",S,original,"Black bow knot and loops"
05_OUTFIT,NeckBow_Tails,paint,"340,390,460,460",S,original,"Ribbon tails with swing physics"
05_OUTFIT,Claude_StarEmblem_Chest,vector/paint,"360,360,440,420",S,replace,"Use original commercial symbol; glow layer separate"
05_OUTFIT,Blouse_Base,paint,"220,340,605,690",S,original,"Cream blouse; hidden torso fill required"
05_OUTFIT,Collar_Lace_01_08,paint,"310,320,490,380",S,original,"Ruffled collar separate"
05_OUTFIT,Sleeve_L_Puff,paint,"220,340,340,530",S,original,"Puffy sleeve + cuff lace"
05_OUTFIT,Sleeve_R_Puff,paint,"500,340,605,560",S,original,"Puffy sleeve + cuff lace"
05_OUTFIT,Cape_Left_Outer,paint,"150,360,365,1050",S,original,"Transparent cloth split"
05_OUTFIT,Cape_Left_Inner,paint,"150,360,365,1050",S,original,"Inner shadow/texture"
05_OUTFIT,Cape_Right_Outer,paint,"515,350,725,1020",S,original,"Transparent cloth split"
05_OUTFIT,Cape_Right_Inner,paint,"515,350,725,1020",S,original,"Inner shadow/texture"
05_OUTFIT,WaistSash_Base,paint,"260,540,510,620",S,original,"Waist sash + bow"
05_OUTFIT,WaistSash_Tails,paint,"280,590,490,680",S,original,"Sash tails with physics"
05_OUTFIT,Skirt_Front_Base,paint,"235,560,525,790",S,original,"Front skirt layer"
05_OUTFIT,Skirt_Back_Base,paint,"235,560,525,790",S,original,"Back skirt/underskirt"
05_OUTFIT,Skirt_Lace_01_28,paint,"235,560,525,790",S,original,"Lace rows separate"
05_OUTFIT,Skirt_Frill_01_36,paint,"235,560,525,790",S,original,"Multi-layer frills"
07_HANDS_ARMS,Arm_L_Upper,paint,"255,275,340,420",S,original,"Left upper arm"
07_HANDS_ARMS,Arm_L_Fore,paint,"280,380,385,530",S,original,"Left forearm"
07_HANDS_ARMS,Hand_L_Palm,paint,"310,450,385,530",S,original,"Palm + finger bases"
07_HANDS_ARMS,Fingers_L_01_10,paint,"310,450,385,530",S,original,"Each finger 2 segments"
07_HANDS_ARMS,Arm_R_Upper,paint,"480,310,570,450",S,original,"Right upper arm"
07_HANDS_ARMS,Arm_R_Fore,paint,"470,400,595,560",S,original,"Right forearm"
07_HANDS_ARMS,Hand_R_Palm,paint,"500,480,570,560",S,original,"Palm holding books"
07_HANDS_ARMS,Fingers_R_01_10,paint,"500,480,570,560",S,original,"Each finger 2 segments"
06_ACCESSORY,BookStack_Top,paint,"410,340,570,430",S,original,"Top book cover/spine"
06_ACCESSORY,BookStack_Middle,paint,"410,390,570,490",S,original,"Middle book"
06_ACCESSORY,BookStack_Bottom,paint,"410,430,570,550",S,original,"Bottom book"
06_ACCESSORY,Book_PageBlock,paint,"420,360,560,420",S,original,"Page flip variants"
06_ACCESSORY,Bookmark_Ribbon,paint,"430,340,450,420",S,original,"Bookmark with swing"
06_ACCESSORY,PocketWatch_Body,paint,"470,590,550,690",A,original,"Rim/glass/hands separate"
06_ACCESSORY,Watch_Chain_01_20,paint,"465,515,555,620",A,original,"Pendulum physics per link"
06_ACCESSORY,ChainTassel_01_06,paint,"480,650,540,730",A,original,"Tassel swing"
08_LEGS_SHOES,Leg_L_Base,redraw,"295,650,410,1010",S,original,"Redraw under skirt/sock"
08_LEGS_SHOES,Leg_R_Base,redraw,"395,650,515,1010",S,original,"Redraw under skirt/sock"
08_LEGS_SHOES,GarterFlower_L,paint,"300,720,390,790",A,original,"Thigh flower + ribbon"
08_LEGS_SHOES,Sock_L_Base,paint,"305,850,415,1020",A,original,"Slouch sock left"
08_LEGS_SHOES,Sock_L_Ruffle,paint,"305,850,415,900",A,original,"Sock cuff frill"
08_LEGS_SHOES,Sock_R_Base,paint,"415,860,505,1000",A,original,"Slouch sock right"
08_LEGS_SHOES,Sock_R_Ruffle,paint,"415,860,505,920",A,original,"Sock cuff frill"
08_LEGS_SHOES,Shoe_L,paint,"285,970,405,1090",A,original,"Sole/strap/buckle/bow"
08_LEGS_SHOES,Shoe_R,paint,"400,980,525,1090",A,original,"Sole/strap/buckle"
09_EFFECTS,FloatingPaper_01_12,paint,"120,200,740,930",B,original,"Particle scene item"
09_EFFECTS,Petal_01_30,paint,"120,200,740,930",B,original,"Particle scene item"
09_EFFECTS,Sparkle_01_10,paint,"300,40,800,400",B,original,"Magic sparkle overlays"
10_SCENE,Prop_BookStack,paint,"590,760,825,900",B,original,"Right-side book stack"
10_SCENE,Prop_Cup,paint,"720,880,780,940",B,original,"Cup/mug"
10_SCENE,Prop_Vase_Flowers,paint,"740,820,825,1085",B,original,"Vase + flower bouquet"
10_SCENE,Prop_ScatteredPapers,paint,"120,960,520,1095",B,original,"Floor papers"
10_SCENE,Prop_Quill,paint,"180,950,280,1020",B,original,"Feather quill"
10_SCENE,Asterisk_Backdrop,vector/paint,"600,40,800,250",B,replace,"Use original symbol"
00_BRAND_CLEANUP,BrandLogo_Left,remove/redraw,"62,77,222,197",S,replace,"Remove third-party text/logo"
00_BRAND_CLEANUP,ProfileCard_Left,remove/redraw,"31,244,211,470",S,replace,"Original character profile card"
00_BRAND_CLEANUP,TopRight_Brand,remove/redraw,"700,48,815,112",S,replace,"Original label"
00_BRAND_CLEANUP,Stamp_BottomLeft,remove/redraw,"58,995,152,1075",S,replace,"Original seal"
00_BRAND_CLEANUP,LeftVertical_Copy,remove/redraw,"20,120,60,920",S,replace,"Original vertical copy or remove"
00_BRAND_CLEANUP,RightVertical_Copy,remove/redraw,"790,160,830,920",S,replace,"Original vertical copy or remove"
