Group,Layer,Type,BBox,ZOrder,Priority,CommercialAction,CubismTarget,Notes
00_GUIDE_COMMERCIAL_CLEANUP,Canvas_Guide_850x1106,paint,"0,0,850,1106",1,S,original,PartCanvasGuide850x1106,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,SafeArea_Model,paint,"0,0,850,1106",2,S,original,PartSafeareaModel,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,SafeArea_Motion,paint,"0,0,850,1106",3,S,original,PartSafeareaMotion,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,BrandLogo_Left_Remove,redraw,"0,0,850,1106",4,S,replace,PartBrandlogoLeftRemove,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,ProfileCard_Left_Redraw,redraw,"0,0,850,1106",5,S,replace,PartProfilecardLeftRedraw,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,TopRight_Brand_Remove,redraw,"0,0,850,1106",6,S,replace,PartToprightBrandRemove,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,Stamp_BottomLeft_Redraw,redraw,"0,0,850,1106",7,S,replace,PartStampBottomleftRedraw,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,Aurelia_Starflower_Master,paint,"0,0,850,1106",8,S,original,PartAureliaStarflowerMaster,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,Palette_Commercial,paint,"0,0,850,1106",9,S,original,PartPaletteCommercial,Final production split layer; redraw hidden area before rigging.
00_GUIDE_COMMERCIAL_CLEANUP,DoNotExport_Notes,paint,"0,0,850,1106",10,S,original,PartDonotexportNotes,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Torso_Base,redraw,"223,341,591,747",11,S,original,PartBodyTorsoBase,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Torso_Shadow,paint,"223,341,591,747",12,S,original,PartBodyTorsoShadow,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Neck_Base,redraw,"223,341,591,747",13,S,original,PartBodyNeckBase,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Neck_Shadow,paint,"223,341,591,747",14,S,original,PartBodyNeckShadow,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Shoulder_L,paint,"223,341,591,747",15,S,original,PartBodyShoulderL,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Shoulder_R,paint,"223,341,591,747",16,S,original,PartBodyShoulderR,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Chest_Breath_Highlight,paint,"223,341,591,747",17,S,original,PartBodyChestBreathHighlight,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Chest_Breath_Shadow,paint,"223,341,591,747",18,S,original,PartBodyChestBreathShadow,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Waist_Base,redraw,"223,341,591,747",19,S,original,PartBodyWaistBase,Final production split layer; redraw hidden area before rigging.
