Group,Layer,Type,BBox,Priority,CommercialAction,Notes
02_HEAD,Face_Base,redraw,"312,144,474,333",S,original,"Full hidden face under bangs/glasses"
03_FACE,Glasses_Frame_L,vector/paint,"311,204,389,266",S,original,"Separate from eyes with lens reflection"
03_FACE,Glasses_Frame_R,vector/paint,"388,204,467,266",S,original,"Separate bridge and temples"
03_FACE,Eye_L_Iris,paint,"328,219,372,249",S,original,"Iris/pupil/highlights separated"
03_FACE,Eye_R_Iris,paint,"405,219,449,249",S,original,"Iris/pupil/highlights separated"
04_HAIR,Ahoge_01,paint,"373,53,434,125",S,original,"High elasticity physics"
04_HAIR,Bang_Center_01_08,paint,"272,112,495,248",S,original,"Split per strand with underside fill"
04_HAIR,SideHair_Left_01_12,paint,"159,161,345,878",S,original,"Front/mid/back chains"
04_HAIR,SideHair_Right_01_12,paint,"471,162,719,879",S,original,"Front/mid/back chains"
04_HAIR,BackHair_Base,paint,"181,122,706,988",S,original,"Behind body and cape"
06_ACCESSORY,HeadFlower_Petals_01_12,paint,"488,111,596,227",S,original,"Each petal independent"
05_OUTFIT,NeckBow_Loop_LR,paint,"301,328,474,428",S,original,"Black bow with knot/tails"
05_OUTFIT,Aurelia_Starflower_Chest,paint,"338,351,392,407",S,replace,"Use original Aurelia symbol"
07_HANDS_ARMS,Hand_L_Fingers,redraw,"266,278,372,552",S,original,"Finger joints split"
07_HANDS_ARMS,Hand_R_Fingers,redraw,"431,312,575,592",S,original,"Separate from book grip"
06_ACCESSORY,Book_Cover_Front,paint,"392,319,570,520",S,original,"Hinged book cover"
06_ACCESSORY,Book_PageBlock,paint,"410,305,558,390",S,original,"Page flip variants"
05_OUTFIT,Blouse_Base,paint,"223,341,591,666",S,original,"Hidden torso fill required"
05_OUTFIT,Cape_Left_Outer,paint,"160,369,356,1018",S,original,"Transparent cloth split"
05_OUTFIT,Cape_Right_Outer,paint,"513,365,715,990",S,original,"Transparent cloth split"
05_OUTFIT,Skirt_Lace_01_24,paint,"245,541,505,747",S,original,"Frill segments separate"
06_ACCESSORY,PocketWatch_Body,paint,"473,595,546,700",A,original,"Rim/glass/hands separate"
06_ACCESSORY,Watch_Chain_01_18,paint,"473,518,530,620",A,original,"Pendulum physics"
08_LEGS_SHOES,Leg_L_Base,redraw,"301,645,402,1010",S,original,"Redraw under skirt/sock"
08_LEGS_SHOES,Leg_R_Base,redraw,"397,645,493,1010",S,original,"Redraw under skirt/sock"
08_LEGS_SHOES,Sock_L_Ruffle,paint,"306,866,398,1026",A,original,"Fold/ribbon/emblem separate"
08_LEGS_SHOES,Shoe_L,paint,"292,979,399,1085",A,original,"Sole/strap/buckle/bow"
08_LEGS_SHOES,Shoe_R,paint,"401,985,520,1088",A,original,"Sole/strap/buckle"
09_EFFECTS,FloatingPaper_01_12,paint,"119,221,735,920",B,original,"Particle scene item"
09_EFFECTS,Petal_01_30,paint,"119,221,735,920",B,original,"Particle scene item"
10_SCENE,BookStack_Cup_Vase,paint,"591,764,812,1076",B,original,"Separate scene prop"
10_SCENE,Compass_Backdrop,vector/paint,"587,49,799,254",B,replace,"Use original symbol"
00_BRAND_CLEANUP,BrandLogo_Left,remove/redraw,"62,77,222,197",S,replace,"Remove third-party text/logo"
00_BRAND_CLEANUP,ProfileCard_Left,remove/redraw,"31,244,211,470",S,replace,"Original Aurelia profile card"
00_BRAND_CLEANUP,TopRight_Brand,remove/redraw,"700,48,815,112",S,replace,"Original label"
00_BRAND_CLEANUP,Stamp_BottomLeft,remove/redraw,"58,995,152,1075",S,replace,"Original seal"
